,S#,Country,Daily Oil Consumption (Barrels),World Share,Yearly Gallons Per Capita,Price Per Gallon (USD),Price Per Liter (USD),Price Per Liter (PKR),GDP Per Capita ( USD ),Gallons GDP Per Capita Can Buy,xTimes Yearly Gallons Per Capita Buy
143,144,Bahamas,20036.0,0.0,812.7,6.48,1.71,361.88,25194.0,3888.0,5
144,145,Tajikistan,21000.0,0.0,37.2,5.94,1.57,332.06,859.0,145.0,4
145,146,New Caledonia,20000.0,0.0,1118.2,8.19,2.16,457.47,34789.0,4248.0,4
146,147,Fiji,16000.0,0.0,281.2,5.27,1.39,294.41,4882.0,926.0,3
147,148,North Korea,18000.0,0.0,10.9,54.89,14.5,3066.75,1300.0,24.0,2
148,149,Armenia,6000.0,0.0,31.3,4.77,1.26,266.49,4268.0,895.0,29
149,150,Malawi,6001.0,0.0,5.3,5.12,1.35,285.95,625.0,122.0,23
150,151,South Sudan,8001.0,0.0,11.3,4.8,1.27,268.18,1120.0,233.0,21
151,152,Rwanda,6700.0,0.0,8.8,5.36,1.42,299.27,798.0,149.0,17
152,153,Somalia,5600.0,0.0,6.1,3.03,0.8,169.2,309.0,102.0,17
153,154,Montenegro,7000.0,0.0,171.1,6.46,1.71,361.03,7677.0,1188.0,7
154,155,Sierra Leone,6500.0,0.0,13.6,5.17,1.37,288.91,485.0,94.0,7
155,156,Guyana,14000.0,0.0,278.2,4.6,1.22,257.18,6956.0,1512.0,5
156,157,Maldives,11000.0,0.0,354.6,3.6,0.95,201.14,6924.0,1923.0,5
157,158,Liberia,8000.0,0.0,26.7,4.9,1.3,273.89,583.0,119.0,4
158,159,Suriname,13000.0,0.0,352.8,4.26,1.13,237.94,6491.0,1524.0,4
159,160,Aruba,8000.0,0.0,1169.4,6.08,1.61,339.67,30253.0,4976.0,4
160,161,Lesotho,5001.0,0.0,36.9,5.68,1.5,317.46,861.0,152.0,4
161,162,Barbados,11001.0,0.0,590.1,8.27,2.18,461.92,15374.0,1859.0,3
162,163,Cabo Verde,5600.0,0.0,161.6,6.86,1.81,383.24,3064.0,447.0,3
163,164,Seychelles,7299.0,0.0,1169.1,6.9,1.82,385.35,10764.0,1560.0,1
164,165,Burundi,1499.0,0.0,2.2,5.09,1.34,284.26,274.0,54.0,24
165,166,British Virgin Islands,1240.0,0.0,647.6,3.6,0.95,200.93,34246.0,9513.0,15
166,167,Cayman Islands,4401.0,0.0,1078.3,6.27,1.66,350.24,85083.0,13570.0,13
167,168,Bhutan,3001.0,0.0,62.4,4.46,1.18,249.15,3122.0,700.0,11
168,169,Comoros,1300.0,0.0,25.0,5.15,1.36,287.64,1403.0,272.0,11
169,170,Vanuatu,1100.0,0.0,60.6,4.92,1.3,274.95,2783.0,566.0,9
170,171,Saint Helena,70.0,0.0,180.2,5.53,1.46,309.21,7800.0,1410.0,8
171,172,Kiribati,400.0,0.0,54.5,4.09,1.08,228.42,1671.0,409.0,7
172,173,Grenada,2000.0,0.0,278.1,4.62,1.22,258.24,9262.0,2005.0,7
173,174,Gambia,3800.0,0.0,27.1,5.04,1.33,281.51,787.0,156.0,6
174,175,Central African Republic,2800.0,0.0,9.5,9.06,2.39,506.12,477.0,53.0,6
175,176,Dominica,1301.0,0.0,279.7,4.78,1.26,267.34,7268.0,1521.0,5
176,177,Belize,4001.0,0.0,166.5,6.68,1.76,373.09,4436.0,664.0,4
177,178,Niue,51.0,0.0,484.4,11.43,3.02,638.73,15586.0,1364.0,3
178,179,Saint Pierre & Miquelon,660.0,0.0,1705.1,8.27,2.19,462.13,34900.0,4220.0,2
179,180,Montserrat,400.0,0.0,1231.1,4.57,1.21,255.07,12589.0,2755.0,2
180,181,Tonga,899.0,0.0,136.3,16.2,4.28,905.22,4903.0,303.0,2
